               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.061101,            0.006198,           0.0046526,             0.49868,             0.57585,             0.55916,             0.14482,            0.079822,           0.0041389,           0.0024415,            0.006634,            0.006634,            0.006634
                  36,            0.061689,           0.0077855,           0.0053506,             0.70362,             0.47647,             0.49004,             0.17204,            0.089678,           0.0038369,           0.0022719,            0.006535,            0.006535,            0.006535
                  37,            0.068284,           0.0085048,           0.0046131,             0.57255,             0.57637,             0.59253,             0.24036,            0.083181,           0.0040289,            0.002249,            0.006436,            0.006436,            0.006436
                  38,            0.058694,           0.0063211,           0.0038016,             0.83958,             0.38793,             0.59746,              0.2006,            0.088463,           0.0037696,           0.0020977,            0.006337,            0.006337,            0.006337
                  39,            0.068272,           0.0060873,           0.0037567,             0.99829,             0.51684,             0.68405,             0.28422,            0.081404,           0.0038831,           0.0021887,            0.006238,            0.006238,            0.006238
                  40,             0.06681,           0.0074678,           0.0043732,             0.80722,             0.57626,              0.7214,             0.30539,            0.076892,           0.0039088,           0.0019892,            0.006139,            0.006139,            0.006139
                  41,            0.055797,           0.0079279,           0.0049961,             0.75384,             0.57647,             0.65484,             0.33882,             0.07937,           0.0037186,           0.0019626,             0.00604,             0.00604,             0.00604
                  42,            0.064263,           0.0071855,           0.0033245,             0.57157,             0.63463,             0.60552,             0.20675,            0.088433,           0.0035206,           0.0020297,            0.005941,            0.005941,            0.005941
                  43,              0.0715,           0.0054153,           0.0041307,             0.99831,             0.49521,             0.72412,             0.29761,            0.076635,           0.0037188,           0.0027169,            0.005842,            0.005842,            0.005842
                  44,             0.07307,            0.007468,           0.0082536,             0.45227,             0.63529,             0.55444,             0.18111,            0.087923,           0.0034098,           0.0030556,            0.005743,            0.005743,            0.005743
                  45,            0.060756,           0.0054944,           0.0022689,             0.54458,             0.69412,             0.61465,             0.31009,            0.071283,           0.0036726,           0.0040541,            0.005644,            0.005644,            0.005644
                  46,            0.064152,           0.0063448,           0.0027879,             0.65329,             0.54689,             0.55359,             0.14277,            0.078772,           0.0035406,           0.0043258,            0.005545,            0.005545,            0.005545
                  47,            0.053429,           0.0054334,           0.0045318,             0.47228,             0.72353,             0.59231,             0.29519,            0.068946,           0.0037324,           0.0050253,            0.005446,            0.005446,            0.005446
                  48,            0.050962,           0.0074531,           0.0038764,             0.49189,             0.85106,             0.61573,             0.26096,            0.074015,           0.0035774,           0.0058431,            0.005347,            0.005347,            0.005347
                  49,            0.068216,           0.0072062,            0.005034,             0.52265,             0.82353,             0.67341,             0.24509,            0.072888,            0.003595,           0.0049841,            0.005248,            0.005248,            0.005248
                  50,            0.068301,           0.0077903,            0.004052,             0.57986,             0.72353,               0.663,             0.22977,            0.077074,           0.0035003,           0.0035198,            0.005149,            0.005149,            0.005149
                  51,            0.067362,           0.0063827,           0.0044723,             0.74546,             0.82353,             0.82583,             0.36698,            0.067337,           0.0034904,           0.0021482,             0.00505,             0.00505,             0.00505
                  52,            0.070142,           0.0073573,           0.0034959,             0.57015,             0.85294,             0.69459,             0.36686,            0.074296,           0.0033224,           0.0018256,            0.004951,            0.004951,            0.004951
                  53,            0.061024,           0.0067662,           0.0021054,              0.7762,             0.75294,             0.81267,             0.43179,            0.062843,           0.0034259,            0.001614,            0.004852,            0.004852,            0.004852
                  54,            0.056832,           0.0086626,           0.0026565,             0.72113,             0.90329,             0.81988,             0.42202,             0.06457,           0.0033652,           0.0015861,            0.004753,            0.004753,            0.004753
                  55,            0.069806,           0.0068452,           0.0087225,             0.72031,             0.85244,             0.82714,             0.40256,            0.064721,           0.0032218,           0.0016652,            0.004654,            0.004654,            0.004654
                  56,            0.069514,           0.0073185,           0.0026184,             0.62164,              0.8116,             0.76553,             0.16772,            0.075676,           0.0029299,           0.0016727,            0.004555,            0.004555,            0.004555
                  57,            0.060541,           0.0056213,           0.0039024,             0.74384,             0.66471,             0.72705,             0.28395,            0.066649,            0.003152,           0.0019029,            0.004456,            0.004456,            0.004456
                  58,            0.061355,           0.0061299,           0.0025211,              0.5937,             0.81176,             0.74106,              0.2181,            0.072217,           0.0029775,           0.0018355,            0.004357,            0.004357,            0.004357
                  59,            0.065826,           0.0073238,           0.0027595,              0.7083,             0.87489,             0.74206,             0.44689,            0.061612,           0.0031799,           0.0022975,            0.004258,            0.004258,            0.004258
                  60,            0.054442,           0.0082716,            0.003782,             0.55956,              0.8769,             0.61992,             0.29727,            0.069597,            0.003041,            0.002583,            0.004159,            0.004159,            0.004159
                  61,            0.057875,           0.0063031,           0.0025875,             0.61564,             0.75225,             0.63527,             0.36409,            0.064844,           0.0031844,           0.0025839,             0.00406,             0.00406,             0.00406
                  62,            0.056301,            0.006253,            0.003395,             0.62771,             0.88232,             0.70723,             0.37422,            0.066954,           0.0031097,           0.0026117,            0.003961,            0.003961,            0.003961
                  63,            0.063201,           0.0058423,            0.004342,             0.72134,             0.88193,             0.77064,             0.44945,            0.061159,           0.0032595,           0.0030052,            0.003862,            0.003862,            0.003862
                  64,            0.045443,           0.0070056,           0.0042732,             0.70802,             0.87645,             0.77222,             0.39603,            0.063132,           0.0032141,           0.0027501,            0.003763,            0.003763,            0.003763
                  65,            0.047506,           0.0055885,           0.0019989,              0.7827,             0.66471,             0.74562,             0.40496,            0.060029,           0.0032941,           0.0024803,            0.003664,            0.003664,            0.003664
